Unnamed: 0.1,sha256,data_type,smali_classes,malware,smali_classes_bin,dex_date,total_size
29034,A1AF9369FCEE14AF5FFF893548A08D19B43FE64A12B6AAAED683ADA5BA73BE10,malware,12074,True,12000-12999,2019-02-27 09:10:38,4556058.0
7151,03E54580B84233263577AB594BDC82D97C1DCC3BFD870A53EED81C1C2CCB29B8,goodware,1716,False,1000-1999,2019-07-04 08:47:00,12184394.0
5494,D72513403BF68244EACDA6D1B54905A0EC0085FFC6BF81C2E4A6607675F6A39F,goodware,912,False,0-999,2019-10-02 17:56:54,43003137.0
4294,44A39B9464CCE32A4D205EDE17C9C8CD1A26746591C7F10F2D9ABF1BBE1F7F8A,goodware,1421,False,1000-1999,2019-06-11 21:48:56,87803384.0
11276,AA9179A9A9A9DEBFCFFE7471003502A8331CD75BF93AF38F988582B29A79DC3F,goodware,2518,False,2000-2999,2019-05-22 17:08:18,149576354.0
26352,2CB7FAA615AEC6E20B2ECE523682B1F8BA5B43B7ACBAA4840E53412A488D00AC,malware,1385,True,1000-1999,2019-06-14 16:57:34,39867078.0
15295,271454BD8DB3A9C4C23F7BA5F760111F941BAF907400328734E75145876783A2,goodware,35722,False,35000-35999,2019-12-16 18:41:30,231952733.0
8055,9FF8950BB0FDEAF476ED43BEAF792F337F0791D5357B68A3B567BCEFF1939103,goodware,1716,False,1000-1999,2019-09-07 13:49:44,11336115.0
13469,19500CCE77CDF747978EA6E430256E68BB037E18282F7317557496C4CA7A4F39,goodware,19916,False,19000-19999,2019-11-19 22:36:48,18550463.0
9566,67E5F9BE9E420C7E8B7DE7F838F49C1CF74AC4B091A4A87E5F60B0C9EDCDA1A1,goodware,1813,False,1000-1999,2020-03-13 11:34:44,27231897.0
3260,D3521074610D083937F94B1996577743CFE1AD45A0A785E9994B7491C725EBF6,goodware,256,False,0-999,2020-03-26 16:01:10,30385999.0
15111,4F648C03D56E3A53390717D99F0D5E08FDEF5C4A9BAB0E51535658DFA7C7D69A,goodware,34371,False,34000-34999,2019-02-28 10:10:10,31573029.0
9465,2E6F35D655679F638D0080AD551A04A57ADFB4B1AB2C423FF6B2C3899D7462FF,goodware,1813,False,1000-1999,2020-02-17 16:43:26,19564009.0
29745,1C8AC147D6FC18C447E398D861B9763933796B47163334158B990A3036335F66,malware,15095,True,15000-15999,2019-06-02 06:15:10,8188591.0
17919,31F233565E6F3B58A71D30D325ACD1F875E8A717159E0C052FB0DA260182190C,malware,79,True,0-999,2019-06-25 15:49:12,12374513.0
26523,06F9AF838AFB9EE31D180DD92EBA9A7F579A495D4A6C5494BFE3078F0EE07D82,malware,1385,True,1000-1999,2019-03-13 12:29:54,40545177.0
20532,21E9D78526992DF0A6F49537F63F72A1EAEA80861EA2F67FB0B386EE9C18A904,malware,217,True,0-999,2020-01-22 13:38:44,103983798.0
15869,FAF5A60D06F9389F65D2867E6F5AA4432D0A2627B2B39FE0A952588386578C5D,goodware,39043,False,39000-39999,2019-10-28 19:09:48,24858263.0
14770,955D5ACECF2EA2A5F191577657E62D8DA91B896B5A7CDBC742EEBB09E291CEE9,goodware,30704,False,30000-30999,2019-02-04 02:42:02,71165501.0
2348,97487884C5577159B63C675787E4A99B104C4441419DBA5E33BEBEF4ECD96E55,goodware,883,False,0-999,2019-02-21 09:42:52,63376304.0
5368,A72E90B0CB7FF27ED064E7A01181757331AE199C3E6424BEB1F6B8F071E797F7,goodware,973,False,0-999,2019-07-09 17:52:30,106408792.0
11641,55F68A7378EE49467FF8C32C74F7AE436B83D04E0B7C1A892023D8F998F754EA,goodware,2801,False,2000-2999,2019-09-21 13:39:38,23491447.0
