Unnamed: 0.1,sha256,data_type,smali_classes,malware,smali_classes_bin,dex_date,total_size
30306,E5530C878D713BD887BB252C703F03C39B00CF45BD43454651716997E72FF2E6,malware,22847,True,22000-22999,2019-02-13 09:20:56,5529813.0
27064,12EA77FBDF827188EE36C70CD91C52E0812037DB4D2A89E79B43B5671A9E3584,malware,1395,True,1000-1999,2019-07-02 21:34:34,25546204.0
2353,978AEDD2B1F53B7F78FC1843FCF2EDD10AE1F734578142A57464F735C2F44735,goodware,84,False,0-999,2019-10-26 13:20:00,7795780.0
4950,6FD0C2E990E70EB2382E5243488FFDC19F0512EA96A2A5FE287348CE90B4A77C,goodware,1028,False,1000-1999,2020-03-02 08:44:54,18049168.0
28345,2D2A8DD42A7693064C753BD22A0342BF5D3E833963BEB66959660C6EFDBD8FE5,malware,2893,True,2000-2999,2019-08-09 17:37:34,17985899.0
21965,914295151D79A8E8C963113CAB7B374F9925FFF1302427E21331553CB304D4C8,malware,1385,True,1000-1999,2019-06-10 20:26:02,47872285.0
597,26E6877C855B6D104330B06C406759D6121FEAE9D50A82B01F05069F4B0F8DB0,goodware,256,False,0-999,2020-04-16 09:23:36,35195464.0
11882,89BD1DBF2578FE540046FDEB31A002129DDF54F7B3F95BFAC462439143D1DCA3,goodware,5762,False,5000-5999,2019-02-05 04:48:12,22156438.0
3077,C669043CB6B0DD8329D687D1B0A2BB3C7783A6E577FC1B039E763E02A2C8063F,goodware,672,False,0-999,2019-01-30 15:17:36,97000344.0
19160,D4734741D390009013CD054D7CFCEB42E0C08E3630D6F78927223A5FE2658DD1,malware,79,True,0-999,2019-05-22 19:19:24,5445711.0
11212,0AA322775F8BC0CF4B0C0612D4678BEFA8CEFA1B5871B7ADD053E7222CA91B40,goodware,2623,False,2000-2999,2019-12-06 15:02:58,87606356.0
30818,53C56901B9CFB862581A25778FE4DC7DAF0F7858C4540D7AB7FC35A2DAFF6A1F,malware,24657,True,24000-24999,2019-05-09 12:18:42,16025962.0
27067,214C7BFFBEBFE4845A6A6D007F8C60ED93E7CC45099B2952E63EDFF989CECB9D,malware,1385,True,1000-1999,2019-06-13 16:26:58,37460204.0
26825,4B3055073FE299BBEB04D4171329D33E4067F8111AA8B52D4C20C99B3C3541D8,malware,1349,True,1000-1999,2019-02-18 11:31:20,14534257.0
19054,5C966A0F24F6B3510C8D3481AAA9E23211A98F8BEE5DC1458FBC0A35546AD0C3,malware,912,True,0-999,2019-04-26 16:19:18,15559841.0
5919,232D619E4387C96E0E83DE9A329D55D32E3985351A6239E8FDA9E57A45863807,goodware,1716,False,1000-1999,2019-08-16 10:30:44,26213987.0
617,27FDAC2DFC1C9AB98D48007020661152940685E213A60A72C1A741C1EA41BD87,goodware,31,False,0-999,2019-07-29 15:39:02,22316933.0
20783,8F57EF2DD6630CB2CD36F5698F03AA21386EFB9EFE6CEE41D5FCFD32CB1C54DA,malware,151,True,0-999,2019-09-10 17:43:08,23047344.0
14155,C62354B65CC24D2A7EA92A49EF8FB075BD77B85A21DE0845BCA50F4F4CD0A5E9,goodware,24279,False,24000-24999,2019-02-07 10:20:36,7471505.0
9199,8585D47450684C32C259B427161A5DB9C1A1D8260A1ED486D47754EADF63A909,goodware,1813,False,1000-1999,2020-02-22 14:45:36,15831274.0
18962,BE40330614665574FCC6C719583BDB445D8085ADCCB9587B18FD95AA7632816A,malware,12,True,0-999,2019-02-21 18:06:46,40925473.0
9540,7BA29C541CF96E1A7B722BB27E49BA4C22AA67AD7787D42A256DEDA313A5A409,goodware,1813,False,1000-1999,2020-03-10 15:20:50,6197910.0
2701,AD58A1C7853ABF8FD8080741DCACC0CAE1A2D208C75206A72C9E8A405EE113F8,goodware,381,False,0-999,2020-03-04 17:54:32,45374019.0
28055,D22DE677FDDD25EE5B013BD8B02DF8EB4A1375476D66E8FEB2645505F1657FDA,malware,2874,True,2000-2999,2019-03-13 17:55:04,93937213.0
16527,C59C445E231A802A5C8EF1C5A50DE9D5F739CD470784323CC7BC6523BB18B98C,goodware,40497,False,40000-40999,2019-04-19 03:44:22,18477389.0
2850,B7ABF2F40569A7095E689E8411F43FCC8297C6BA0B8D8E5181228285CA590BD1,goodware,762,False,0-999,2019-09-04 15:42:30,53276922.0
9029,8E72E3AF4247DBD8F4DF8CC6162A9EB711B9135F42635A40530B72C40EAD6EF4,goodware,1827,False,1000-1999,2019-11-08 17:52:30,36245069.0
31686,B2187CCA012F6EE2C7953A1E6C1F0F41703081074990503725DE59AF89FC3460,malware,34181,True,34000-34999,2019-01-08 14:57:06,14500847.0
6875,755685D3770FAB11BABBFE0D5E6240CE5C74195D4B00D3A029D727C42AFBA80C,goodware,1738,False,1000-1999,2019-08-07 11:37:10,139077073.0
32356,2B07FF3D4B9694B36D7AE382D64730C92C74BAB8A6044C3FED77202EB34BE79C,malware,41685,True,41000-41999,2019-04-03 09:53:56,11682158.0
30911,44432BDB6B138A01359E02A9D8ABDE362EEA562B4807E894B0E8A8F64B89803E,malware,25428,True,25000-25999,2019-03-27 23:09:48,10481969.0
22469,530D008705CA8510524A8EB5CC567CC2BA578448025A67D4CD9E1DFD15118E6E,malware,1385,True,1000-1999,2019-07-01 15:45:34,14070411.0
27942,7800D964B52E19716F31FC5138012DAE5E37540C68D7DA0096C49D32195EAED8,malware,2600,True,2000-2999,2019-01-10 17:49:56,16146731.0
26901,16381E6ED2D0189B9556E4C5C49AAA615889F3BA5DBF2D29D5F8BC63BB958741,malware,1385,True,1000-1999,2019-01-25 10:13:20,29866906.0
15670,B7177C8B67B4EC365F6FD94A78CFB63F398B8B910070833E1FF9EC37536156CA,goodware,38160,False,38000-38999,2019-03-02 11:28:48,10835768.0
12646,D51E532FA5D4B35F0A87384CB16F0D0CE0C67AC0BD0729EDDC1B4F192F3EB8EA,goodware,15082,False,15000-15999,2019-11-24 14:03:16,5011872.0
3459,DF797B407DE15949C63E0D9931A2023DA8525B32A2114C6892B183B6FC2ADB4D,goodware,136,False,0-999,2019-12-18 10:51:50,73331393.0
27745,F537D9DE84C9654FBB688FC23551D5A09380CE95E3DFD82FDF764821D46406BF,malware,2600,True,2000-2999,2019-01-04 10:12:16,62978263.0
25396,40797876688A555360B60F749E9DB088075A5DBB229512F9F79014226C553914,malware,1385,True,1000-1999,2019-03-20 16:09:48,12485970.0
27657,FE86DDF2D1A8E331CAEE57B14CA738F07503785D7654F4D2B5630F0E1610F382,malware,2600,True,2000-2999,2019-01-18 15:29:48,14993605.0
4036,C28C7F671B801D2A15F5A62F70F05F2E5099B7E02BE7FE42AE9B251378DC90BC,goodware,1171,False,1000-1999,2019-12-17 22:40:08,44477196.0
17134,6E1EFD9C636017C5AD596642F042BCF6CFC494066503F10D0912EEFE01ED21F6,goodware,41189,False,41000-41999,2019-02-05 13:44:40,100794783.0
3828,F68DA0811584532B283A6AFD767931B844026034512EA02889E71B315F00350F,goodware,918,False,0-999,2020-01-25 12:58:52,124375275.0
1566,6733159A25D10591778D686391FD2C00B75A20C6B0AAF5D524F00AB1DC1F7AEF,goodware,876,False,0-999,2019-11-26 11:36:42,189006450.0
13385,2FEC245E1A158FA13F9C8C592463B86CAD97863D60C58D0FB06E5FCA81C1F4ED,goodware,18667,False,18000-18999,2019-05-06 10:45:40,27263114.0
18472,0DB221C74503A4F6900E2F76E66E4B741A066CFD7FD2600A97539D2FD5BBCC54,malware,198,True,0-999,2019-08-22 17:10:26,74353464.0
20310,66CD1F617D373E6603858AE30208268A6AB5EF42AFA5D95252C7A416BCD1C261,malware,170,True,0-999,2020-01-11 13:36:38,33430680.0
3165,CCE028D55744B5BAFC067212C2D7662204BA3D7418FCBFD5DA00EB70FC3CBA86,goodware,363,False,0-999,2019-01-26 22:04:34,2597749.0
26915,4D27CA6C6D749D2C090BD6CFAAC81A0A024554A2EDF60371F019CCC150165A0B,malware,1385,True,1000-1999,2019-04-30 17:58:56,49253842.0
15394,F9F7E564797E35FA547C64A9B02ED30338DCF7639490576DC6278D83573BD7D3,goodware,36577,False,36000-36999,2019-05-16 23:20:32,42396493.0
2102,8779E3F02677F5D793EB1F6A129846CAD378F130B3757BCBCBB30A52A1DBCC8F,goodware,33,False,0-999,2019-01-03 11:21:50,18152518.0
28891,38B7964274A054F908CFF57A6535467D06B9BCEABDEBC4414412B6BCCB19B468,malware,10958,True,10000-10999,2019-06-18 02:55:36,10439908.0
31583,94D1229AB629D80EF74EEE0B4FDFF644BB3D13DE7DEA7EC8C1F23F8480A4C526,malware,33948,True,33000-33999,2019-02-23 00:57:46,8534663.0
6284,6FCB91C9485CF852FFC20AAED8D3F0C9A151267E959C004EBD72B1203DEA44B1,goodware,1716,False,1000-1999,2019-09-05 15:53:48,36931876.0
29034,A1AF9369FCEE14AF5FFF893548A08D19B43FE64A12B6AAAED683ADA5BA73BE10,malware,12074,True,12000-12999,2019-02-27 09:10:38,4556058.0
14301,8065C443FB6369336EF11DDF4C71467833AED8E750053A6AEF308CD99E912952,goodware,25489,False,25000-25999,2019-03-28 20:10:20,26252398.0
12276,9425BAA920D00322200FD65448853DE1B8454D531DBA7A4E9368231CBB1A3778,goodware,10959,False,10000-10999,2019-10-28 07:45:18,9258023.0
4803,7AB7FC26E1AC8FAAAE67EC8534E1E55D7F500ADEFE7FF8F04659473F1F42E5FB,goodware,1541,False,1000-1999,2019-04-12 15:14:40,42255937.0
12818,F910157440D0D60FB6D4D9D07C43CFA626C7180EE0E983592B500E449231A91B,goodware,15081,False,15000-15999,2019-03-16 13:49:38,7242802.0
16845,7F4055F2DA98D7792E4556B53EF52CC3077252D1301760507A6B56FFF294CBF8,goodware,40892,False,40000-40999,2019-05-07 19:21:00,12234580.0
17604,001DBCF3ACCA2D5A6654E34E0D7CFEF5744068E7972E76C6EFFC02FBBA363BEB,malware,418,True,0-999,2019-12-16 09:52:42,45350078.0
19844,3D9417D939C00654BE63AB47A76C9F60A03ED16973AAC494559DA81D9E4121FB,malware,178,True,0-999,2019-10-10 20:09:52,24328803.0
5027,61359CC76BB0F9A642CA5BD7658EFA84D7871B698946AE69D0B73CC3CA6E45FB,goodware,1648,False,1000-1999,2019-03-28 04:44:16,71340892.0
11010,9BE84D4B6B6270CE50647D01CA54AA3FB7782D21314866CD6DA421D998E967D2,goodware,2359,False,2000-2999,2019-09-06 10:12:08,142002467.0
4510,18AC831F8791F0D8ECDD0D2102177F0C2BFB94504D20BBFFF59C46D04E81CA44,goodware,1107,False,1000-1999,2019-06-13 16:33:18,130453348.0
5967,D4619A4A6B4C4958987652239091B802C4B181E71BFCF31853AFCEBFE26B1F6F,goodware,1716,False,1000-1999,2019-08-28 15:24:48,44463311.0
18983,0F35ED4D196CDAFA6ECDEA083E7D73EE09675F4C108F529D40CE716876939397,malware,253,True,0-999,2019-05-10 15:00:30,16514790.0
15100,1B80852D4BDE11C6573D96DD1BBA7E068E7F679B920CC9033D364E84B41F97B9,goodware,34321,False,34000-34999,2019-09-06 17:28:18,57299749.0
24971,CAC916237F98D5CED4DEB7504753A1C1A5DC0A84A92C92CB15496B38568A29E4,malware,1395,True,1000-1999,2019-04-19 14:10:04,93126805.0
27332,77B92CA59C417C0861E7C882F600DA0663BD195221E23F759E4197B5E5344780,malware,1716,True,1000-1999,2019-09-24 17:13:06,40948289.0
